year,UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75 ,ADMCON10,ADMCON11,ADMCON12,XAPPLCNAN,APPLCNAN,XAPPLCNUN,APPLCNUN,XADMSSNAN,ADMSSNAN,XADMSSNUN,ADMSSNUN,XENRLAN,ENRLAN,XENRLUN,ENRLUN,XENRLFTAN,ENRLFTAN,XENRLFTUN,ENRLFTUN,XENRLPTAN,ENRLPTAN,XENRLPTUN,ENRLPTUN,XSATVR50,SATVR50,XSATMT50,SATMT50,XACTCM50,ACTCM50,XACTEN50,ACTEN50,XACTMT50,ACTMT50,ACTMT75   
2019,167358,1,2,1,2,1,2,1,1,3,R,62263,R,28736,R,33527,R,11240,R,5273,R,5967,R,2996,R,1466,R,1530,R,2996,R,1466,R,1530,A,,A,,A,,R,1657,R,55,R,942,R,31,R,680,R,750,R,710,R,790,R,32,R,35,R,33,R,35,R,30,R,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,168148,1,5,1,1,1,3,1,1,3,R,22766,R,9407,R,13359,R,3404,R,1528,R,1876,R,1612,R,740,R,872,R,1612,R,740,R,872,R,0,R,0,R,0,R,906,R,56,R,706,R,44,R,680,R,750,R,710,R,790,R,32,R,34,A,,A,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,168421,5,5,1,1,1,3,3,1,3,R,10645,R,7718,R,2927,R,5255,R,3416,R,1839,R,1199,R,719,R,480,R,1199,R,719,R,480,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,170976,1,5,1,1,1,2,1,1,2,R,64972,R,33697,R,31275,R,14883,R,6987,R,7896,R,6830,R,3318,R,3512,R,6814,R,3310,R,3504,R,16,R,8,R,8,R,4315,R,63,R,3288,R,48,R,660,R,740,R,680,R,790,R,31,R,34,R,32,R,35,R,29,R,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,171100,1,2,1,1,2,3,1,1,3,R,44322,R,21435,R,22887,R,31522,R,14850,R,16672,R,8801,R,4261,R,4540,R,8638,R,4175,R,4463,R,163,R,86,R,77,R,6882,R,78,R,3336,R,38,R,550,R,650,R,550,R,670,R,23,R,29,R,23,R,31,R,23,R,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,174066,5,5,1,1,3,3,1,1,3,R,40673,R,19499,R,21174,R,23076,R,10643,R,12433,R,6278,R,2871,R,3407,R,6259,R,2865,R,3394,R,19,R,6,R,13,R,1127,R,18,R,5560,R,89,R,600,R,710,R,660,R,770,R,26,R,31,R,24,R,33,R,25,R,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,179867,2,2,1,2,1,2,1,1,3,R,25426,R,12133,R,13293,R,3522,R,1663,R,1859,R,1732,R,839,R,893,R,1730,R,839,R,891,R,2,R,0,R,2,R,646,R,37,R,1173,R,68,R,720,R,760,R,760,R,800,R,33,R,35,R,34,R,35,R,30,R,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,182670,1,1,1,2,1,3,1,1,3,R,23650,R,11384,R,12266,R,1875,R,959,R,916,R,1190,R,607,R,583,R,1190,R,607,R,583,A,,A,,A,,R,680,R,57,R,510,R,43,R,710,R,770,R,730,R,790,R,32,R,35,R,33,R,36,R,30,R,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,185828,1,5,1,1,1,1,1,1,3,R,8201,R,5560,R,2641,R,5971,R,4018,R,1953,R,1360,R,1008,R,352,R,1316,R,970,R,346,R,44,R,38,R,6,R,1215,R,89,R,237,R,17,R,580,R,670,R,610,R,720,R,24,R,31,R,24,R,31,R,23,R,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,186131,2,2,1,2,1,2,1,1,3,R,32804,R,16720,R,16084,R,1895,R,907,R,988,R,1335,R,656,R,679,R,1335,R,656,R,679,A,,A,,A,,R,940,R,70,R,669,R,50,R,710,R,770,R,750,R,800,R,33,R,35,R,34,R,36,R,31,R,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
