year,UNITID,SISCAT,FACSTAT,ARANK,XHRTOTLT,HRTOTLT,XHRTOTLM,HRTOTLM,XHRTOTLW,HRTOTLW,XHRAIANT,HRAIANT,XHRAIANM,HRAIANM,XHRAIANW,HRAIANW,XHRASIAT,HRASIAT,XHRASIAM,HRASIAM,XHRASIAW,HRASIAW,XHRBKAAT,HRBKAAT,XHRBKAAM,HRBKAAM,XHRBKAAW,HRBKAAW,XHRHISPT,HRHISPT,XHRHISPM,HRHISPM,XHRHISPW,HRHISPW,XHRNHPIT,HRNHPIT,XHRNHPIM,HRNHPIM,XHRNHPIW,HRNHPIW,XHRWHITT,HRWHITT,XHRWHITM,HRWHITM,XHRWHITW,HRWHITW,XHR2MORT,HR2MORT,XHR2MORM,HR2MORM,XHR2MORW,HR2MORW,XHRUNKNT,HRUNKNT,XHRUNKNM,HRUNKNM,XHRUNKNW,HRUNKNW,XHRNRALT,HRNRALT,XHRNRALM,HRNRALM,XHRNRALW,HRNRALW 
2022,139755,203,20,3,R,1,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
2022,139755,300,30,0,R,195,R,120,R,75,R,0,R,0,R,0,R,46,R,26,R,20,R,6,R,2,R,4,R,10,R,8,R,2,R,2,R,1,R,1,R,81,R,53,R,28,R,0,R,0,R,0,R,3,R,1,R,2,R,47,R,29,R,18
2022,139755,301,30,1,R,5,R,5,R,0,R,0,R,0,R,0,R,1,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,4,R,4,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
2022,139755,302,30,2,R,6,R,5,R,1,R,0,R,0,R,0,R,3,R,2,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,1,R,0,R,2,R,2,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
2022,139755,303,30,3,R,184,R,110,R,74,R,0,R,0,R,0,R,42,R,23,R,19,R,6,R,2,R,4,R,10,R,8,R,2,R,1,R,0,R,1,R,75,R,47,R,28,R,0,R,0,R,0,R,3,R,1,R,2,R,47,R,29,R,18
2022,139755,400,40,0,R,101,R,56,R,45,R,0,R,0,R,0,R,17,R,8,R,9,R,7,R,5,R,2,R,4,R,3,R,1,R,0,R,0,R,0,R,60,R,31,R,29,R,2,R,2,R,0,R,2,R,2,R,0,R,9,R,5,R,4
2022,139755,405,40,5,R,92,R,51,R,41,R,0,R,0,R,0,R,17,R,8,R,9,R,7,R,5,R,2,R,4,R,3,R,1,R,0,R,0,R,0,R,53,R,28,R,25,R,2,R,2,R,0,R,2,R,2,R,0,R,7,R,3,R,4
2022,139755,406,40,6,R,9,R,5,R,4,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,7,R,3,R,4,R,0,R,0,R,0,R,0,R,0,R,0,R,2,R,2,R,0
2022,139755,420,42,0,R,101,R,56,R,45,R,0,R,0,R,0,R,17,R,8,R,9,R,7,R,5,R,2,R,4,R,3,R,1,R,0,R,0,R,0,R,60,R,31,R,29,R,2,R,2,R,0,R,2,R,2,R,0,R,9,R,5,R,4
2022,139755,425,42,5,R,92,R,51,R,41,R,0,R,0,R,0,R,17,R,8,R,9,R,7,R,5,R,2,R,4,R,3,R,1,R,0,R,0,R,0,R,53,R,28,R,25,R,2,R,2,R,0,R,2,R,2,R,0,R,7,R,3,R,4
2022,139755,426,42,6,R,9,R,5,R,4,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,7,R,3,R,4,R,0,R,0,R,0,R,0,R,0,R,0,R,2,R,2,R,0
2022,139755,500,50,0,R,128,R,90,R,38,R,0,R,0,R,0,R,11,R,7,R,4,R,9,R,8,R,1,R,1,R,1,R,0,R,0,R,0,R,0,R,96,R,67,R,29,R,3,R,3,R,0,R,1,R,0,R,1,R,7,R,4,R,3
2022,139959,  1, 0,0,R,2190,R,1271,R,919,R,6,R,4,R,2,R,230,R,151,R,79,R,115,R,60,R,55,R,64,R,33,R,31,Z,0,Z,0,Z,0,R,1467,R,859,R,608,R,13,R,6,R,7,R,170,R,83,R,87,R,125,R,75,R,50
2022,139959,100,10,0,R,2190,R,1271,R,919,R,6,R,4,R,2,R,230,R,151,R,79,R,115,R,60,R,55,R,64,R,33,R,31,Z,0,Z,0,Z,0,R,1467,R,859,R,608,R,13,R,6,R,7,R,170,R,83,R,87,R,125,R,75,R,50
