year,UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200 
20,196088,R,3425,R,2,R,3423,R,2066,R,60,R,2585,R,76,R,0,R,3423,R,65,R,20,R,2650,R,77,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,196097,R,2674,R,0,R,2674,R,1462,R,55,R,1973,R,74,R,0,R,2674,R,44,R,10,R,2017,R,75,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,196413,R,3381,R,16,R,3365,R,2400,R,71,R,2788,R,83,R,0,R,3365,R,14,R,6,R,2802,R,83,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,197708,R,587,R,1,R,586,R,467,R,80,R,487,R,83,Z,0,R,586,R,6,R,0,R,493,R,84,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,198419,R,1714,R,2,R,1712,R,1497,R,87,R,1637,R,96,R,0,R,1712,R,5,R,3,R,1642,R,96,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,199120,R,3914,R,1,R,3913,R,3224,R,82,R,3496,R,89,R,0,R,3913,R,32,R,10,R,3528,R,90,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,199193,R,4218,R,2,R,4216,R,2290,R,54,R,3435,R,81,R,1,R,4215,R,56,R,18,R,3491,R,83,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,199847,R,1234,R,2,R,1232,R,1042,R,85,R,1092,R,89,Z,0,R,1232,R,3,R,0,R,1095,R,89,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,201645,R,1371,R,2,R,1369,R,886,R,65,R,1163,R,85,R,0,R,1369,R,8,R,5,R,1171,R,86,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,204796,R,7204,R,0,R,7204,R,4237,R,59,R,6005,R,83,R,0,R,7204,R,104,R,35,R,6109,R,85,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,211440,R,1408,R,1,R,1407,R,1054,R,75,R,1250,R,89,R,0,R,1407,R,20,R,2,R,1270,R,90,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,212054,R,3013,R,2,R,3011,R,763,R,25,R,2215,R,74,R,0,R,3011,R,24,R,3,R,2239,R,74,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,213543,R,1217,R,1,R,1216,R,881,R,72,R,1063,R,87,R,0,R,1216,R,7,R,3,R,1070,R,88,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,215062,R,2397,R,3,R,2394,R,2040,R,85,R,2286,R,95,R,0,R,2394,R,26,R,4,R,2312,R,97,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,215293,R,3638,R,6,R,3632,R,2365,R,65,R,2997,R,83,R,0,R,3632,R,33,R,7,R,3030,R,83,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,216597,R,1641,R,2,R,1639,R,1428,R,87,R,1490,R,91,R,0,R,1639,R,4,R,0,R,1494,R,91,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,217156,R,1536,R,3,R,1533,R,1298,R,85,R,1457,R,95,R,0,R,1533,R,13,R,1,R,1470,R,96,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,217882,R,3435,R,2,R,3433,R,2036,R,59,R,2848,R,83,R,0,R,3433,R,53,R,15,R,2901,R,85,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,217925,R,101,R,0,R,101,R,61,R,60,R,65,R,64,Z,0,R,101,R,0,Z,0,R,65,R,64,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,221999,R,1608,R,7,R,1601,R,1429,R,89,R,1499,R,94,R,0,R,1601,R,7,R,1,R,1506,R,94,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,223232,R,3253,R,2,R,3251,R,2040,R,63,R,2571,R,79,R,1,R,3250,R,16,R,3,R,2587,R,80,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,227757,R,931,R,4,R,927,R,793,R,86,R,878,R,95,R,0,R,927,R,4,R,0,R,882,R,95,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,228246,R,1425,R,0,R,1425,R,964,R,68,R,1111,R,78,R,0,R,1425,R,10,R,1,R,1121,R,79,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,228723,R,7685,R,0,R,7685,R,4239,R,55,R,6296,R,82,R,0,R,7685,R,104,R,0,R,6400,R,83,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,228778,R,8034,R,0,R,8034,R,4892,R,61,R,6649,R,83,Z,0,R,8034,R,74,R,28,R,6723,R,84,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,228875,R,1849,R,0,R,1849,R,1280,R,69,R,1527,R,83,R,0,R,1849,R,4,R,1,R,1531,R,83,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,231624,R,1465,R,2,R,1463,R,1246,R,85,R,1333,R,91,R,0,R,1463,R,12,R,3,R,1345,R,92,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,234076,R,3394,R,3,R,3391,R,3017,R,89,R,3198,R,94,R,0,R,3391,R,9,R,5,R,3207,R,95,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,236948,R,6003,R,1,R,6002,R,3961,R,66,R,4972,R,83,R,0,R,6002,R,70,R,22,R,5042,R,84,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,239105,R,1927,R,0,R,1927,R,1285,R,67,R,1632,R,85,R,0,R,1927,R,9,R,2,R,1641,R,85,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,240444,R,6275,R,0,R,6275,R,3814,R,61,R,5473,R,87,R,0,R,6275,R,66,R,19,R,5539,R,88,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,243744,R,1762,R,0,R,1762,R,1319,R,75,R,1663,R,94,Z,0,R,1762,R,41,R,7,R,1704,R,97,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,243780,R,6428,R,3,R,6425,R,3557,R,55,R,5178,R,81,R,0,R,6425,R,101,R,17,R,5279,R,82,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,445188,R,1492,R,3,R,1489,R,565,R,38,R,985,R,66,Z,0,R,1489,R,28,R,4,R,1013,R,68,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
21,100858,R,3696,R,5,R,3691,R,1865,R,51,R,2920,R,79,R,0,R,3691,R,61,R,17,R,2981,R,81,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
21,110404,R,249,R,0,R,249,R,210,R,84,R,233,R,94,R,0,R,249,R,3,R,0,R,236,R,95,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
21,110635,R,4677,R,0,R,4677,R,3554,R,76,R,4331,R,93,R,0,R,4677,R,82,R,14,R,4413,R,94,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
21,110644,R,5072,R,2,R,5070,R,3201,R,63,R,4394,R,87,R,0,R,5070,R,87,R,13,R,4481,R,88,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
21,110653,R,5449,R,0,R,5449,R,3774,R,69,R,4599,R,84,R,2,R,5447,R,58,R,11,R,4657,R,85,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
21,110662,R,5684,R,0,R,5684,R,4523,R,80,R,5201,R,92,R,0,R,5684,R,52,R,10,R,5253,R,92,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
21,110671,R,4185,R,1,R,4184,R,2343,R,56,R,3179,R,76,R,0,R,4184,R,60,R,14,R,3239,R,77,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
21,110680,R,5217,R,0,R,5217,R,3398,R,65,R,4552,R,87,R,0,R,5217,R,97,R,18,R,4649,R,89,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
21,110705,R,4597,R,0,R,4597,R,3112,R,68,R,3833,R,83,Z,0,R,4597,R,56,R,12,R,3889,R,85,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
21,110714,R,3295,R,5,R,3290,R,1712,R,52,R,2468,R,75,R,0,R,3290,R,69,R,14,R,2537,R,77,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
21,121150,R,783,R,0,R,783,R,619,R,79,R,674,R,86,Z,0,R,783,R,2,R,1,R,676,R,86,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
21,122931,R,1291,R,0,R,1291,R,1118,R,87,R,1177,R,91,R,0,R,1291,R,8,R,2,R,1185,R,92,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
